,H_modelled,H_modelled_grad,H_modelled_lapl,v_modelled,v_modelled_grad,v_modelled_lapl,boundary_proximity,elevation1,elevation1_gradient,elevation1_laplacian,elevation2,elevation2_gradient,elevation2_laplacian,glacier,H,x,y,fold,elevation_diff
48,30.180561,2.7782753,0.7255101,4.300654,0.75123024,0.1096794,173.17133,498.65408,0.12830056,0.001922417,496.6486,0.15220474,-0.0011366848,scottturnerbreen,22.11879153,520527.529,8669234.342,-1,-2.0054932
49,43.384724,5.1974974,-1.4012232,3.9795732,0.466099,-0.31952697,166.98344,487.90396,0.12597004,0.0014136317,484.15738,0.10961647,0.0055448534,scottturnerbreen,16.48173877,520576.309,8669316.942,-1,-3.746582
50,50.05144,0.63988364,0.16776562,6.021953,0.41354644,0.12808645,172.90749,578.95184,0.19565915,0.00127964,581.3635,0.1837396,-0.00069904374,scottturnerbreen,30.62006607,520223.887,8668867.465,3,2.4116821
51,50.306732,0.85736954,-0.7076206,6.0621486,0.43378577,-0.30114686,158.1179,571.8433,0.19627538,-0.00016698847,572.20654,0.25300705,0.0026407242,scottturnerbreen,31.14148192,520231.162,8668922.898,3,0.3632202
52,46.309505,1.3721555,0.052184105,4.3566265,0.5548912,0.020770013,149.17365,564.30963,0.20304993,-0.00018901844,564.82806,0.19442406,0.0044758804,scottturnerbreen,29.36862017,520244.534,8668960.439,3,0.5184326
53,46.188957,1.6772752,0.56104946,6.5214314,1.2539024,0.20756614,203.68198,512.5567,0.13857664,-0.00055303564,511.13602,0.17745046,-0.0009847642,scottturnerbreen,23.21435931,520453.357,8669164.816,-1,-1.4206848
54,49.423607,2.2828224,0.6053095,4.9570923,1.2823526,0.29280245,187.90527,523.67523,0.15656987,0.0005957603,524.2283,0.16920687,-0.0024385448,scottturnerbreen,20.76218597,520391.864,8669120.655,3,0.55303955
55,50.354317,0.25031853,0.13847923,5.0042386,0.12694545,0.05649233,161.52377,541.70325,0.15538825,-0.00040121097,542.3448,0.17737597,0.0024795532,scottturnerbreen,23.26652618,520310.288,8669050.945,3,0.6415405
56,40.95288,4.809882,0.61427784,2.2094831,0.46596962,0.20339379,158.03178,481.03262,0.11036446,0.004928112,477.80594,0.08259479,0.0059718136,scottturnerbreen,11.88204576,520611.699,8669371.413,-1,-3.2266846
57,45.43793,3.3744743,1.2985497,1.1015692,0.32905287,0.33679256,138.8177,477.38248,0.05731593,0.000565815,473.58804,0.049573757,-0.0023599623,scottturnerbreen,12.66680938,520655.92,8669428.056,-1,-3.7944336
58,72.427864,2.0305126,-2.2830143,5.32712,0.12059879,-0.3575102,116.92422,473.36862,0.1031341,0.003804493,469.85132,0.091000035,-0.0055776597,scottturnerbreen,11.72504276,520694.131,8669475.864,-1,-3.5173035
59,64.507484,2.5166676,-0.9505253,3.2562196,0.46340308,0.09940529,110.44163,468.56415,0.06026367,0.00048131938,464.6048,0.06895585,-0.0018767357,scottturnerbreen,11.51567677,520758.679,8669515.316,-1,-3.9593506
60,51.48825,1.8319409,1.0251894,1.0844561,0.09758462,0.20258287,90.6586,462.2568,0.089278825,0.0014796257,458.47803,0.080595486,-6.275205e-05,scottturnerbreen,11.14920225,520827.582,8669563.547,-1,-3.778778
61,58.42656,2.6220605,-0.5267668,1.9477059,0.25242954,-0.03292808,80.487656,458.42734,0.045281928,-0.002451229,454.95123,0.092634715,0.002643967,scottturnerbreen,10.25868385,520866.734,8669600.355,-1,-3.4761047
62,67.85311,0.6086062,-1.0866022,2.9773898,0.076055594,-0.09001273,65.51067,453.29385,0.064248495,0.0017535207,450.4544,0.14158319,-0.0025956156,scottturnerbreen,8.94741265,520911.982,8669634.469,-1,-2.839447
63,66.15288,1.6063102,-0.67189884,2.6196885,0.22762036,-0.05908239,66.567856,449.77158,0.062900744,-0.00047931663,445.50964,0.07805162,-0.002339363,scottturnerbreen,7.52790277,520955.774,8669669.083,2,-4.2619324
